GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,Reference,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3,Label
0,0,0,0,1,0,0,1,3,5,5,5,5,8,0,0.13636363636363635,1,1,48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0.15555555555555556,3,0,2,4,0.047619047619047616,0.6,0.07352941176470588,102,4
1,2,2,2,0,1,0,2,3,5,2,5,1,7,1,0.07272727272727272,1,1,48,0.02,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,1,0.5111111111111111,3,0,2,3,0.38095238095238093,0.3666666666666667,0.4852941176470588,102,2
0,0,0,0,0,0,0,1,2,5,5,3,2,7,1,0.18181818181818182,1,2,11,0.05,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0.2222222222222222,0,0,2,1,0.0,0.4,0.16176470588235295,102,4
2,1,2,2,2,3,2,3,2,2,4,5,1,7,0,0.18181818181818182,1,1,48,0.01,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1,0.0222222222222222,0,1,2,3,0.6666666666666666,0.30000000000000004,0.19117647058823528,56,0
0,0,0,0,0,1,0,1,3,5,3,3,3,7,0,0.03636363636363636,1,3,11,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,0.1333333333333333,0,0,2,2,0.047619047619047616,0.4,0.19117647058823528,102,4
0,0,0,0,0,0,0,1,3,4,4,3,2,7,1,0.2727272727272727,1,3,11,0.08,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1,0.24444444444444446,0,1,2,1,0.0,0.3666666666666667,0.38235294117647056,102,4
0,0,0,0,0,0,0,2,3,6,4,3,7,7,0,0.22727272727272727,1,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.11111111111111116,0,0,2,4,0.0,0.6,0.20588235294117646,54,4
2,3,2,2,0,1,2,3,2,3,3,3,1,7,0,0.01818181818181818,1,4,11,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,0,0.11111111111111116,0,0,2,3,0.5714285714285714,0.23333333333333336,0.8088235294117647,102,3
2,1,2,2,2,1,0,2,3,3,3,2,2,10,1,0.22727272727272727,1,2,11,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,0,0.19999999999999996,0,1,2,1,0.47619047619047616,0.2666666666666667,0.38235294117647056,31,0
3,3,3,3,1,3,3,2,5,5,6,6,5,7,1,0.12727272727272726,1,1,48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0,0.06666666666666665,1,1,2,4,0.9047619047619047,0.7333333333333334,0.08823529411764705,102,2
