GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,Birthplace,Playstyle,GAD_T,SWL_T,SPIN_T,Residence_ISO3
0,0,0,0,1,0,0,3,5,5,5,5,Skyrim,"Console (PS, Xbox, ...)",15.0,I play for fun,having fun,Unranked,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,25,Unemployed / between jobs,Bachelor,USA,Singleplayer,1,23,5.0,USA
1,2,2,2,0,1,0,3,5,2,5,1,Other,PC,8.0,I play for fun,having fun,Unranked,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,Male,41,Unemployed / between jobs,Bachelor,USA,Multiplayer,8,16,33.0,USA
0,0,0,0,0,0,0,2,5,5,3,2,Other,PC,20.0,I play for fun,improving,Gold,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,28,Employed,Bachelor,USA,Multiplayer,0,17,11.0,USA
2,1,2,2,2,3,2,2,2,4,5,1,Other,"Console (PS, Xbox, ...)",20.0,I play for fun,having fun,Unranked,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,Male,19,Employed,High School,USA,Multiplayer,14,14,13.0,KOR
0,0,0,0,0,1,0,3,5,3,3,3,Other,"Console (PS, Xbox, ...)",4.0,I play for fun,relaxing,Unranked,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Male,24,Employed,Bachelor,USA,Multiplayer,1,17,13.0,USA
0,0,0,0,0,0,0,3,4,4,3,2,Other,PC,30.0,I play for fun,relaxing,Gold,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,Male,29,Employed,High School,USA,Multiplayer,0,16,26.0,USA
0,0,0,0,0,0,0,3,6,4,3,7,Other,"Console (PS, Xbox, ...)",25.0,I play for fun,having fun,Unranked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Female,23,Employed,Bachelor,USA,Singleplayer,0,23,0.0,JPN
2,3,2,2,0,1,2,2,3,3,3,1,Other,"Console (PS, Xbox, ...)",2.0,I play for fun,winning,Gold,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,Female,23,Employed,Bachelor,USA,Multiplayer,12,12,55.0,USA
2,1,2,2,2,1,0,3,3,3,2,2,World of Warcraft,PC,25.0,I play for fun,improving,Unranked,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,Female,27,Employed,High School,Finland,Multiplayer,10,13,26.0,FIN
3,3,3,3,1,3,3,5,5,6,6,5,Other,PC,14.0,I play for fun,having fun,Unranked,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,Female,21,Student at college / university,High School,USA,Singleplayer,19,27,6.0,USA
